department,language,courseType,courseNumber,title,course_url,schedule,recommendedPrerequisites,notApplicableWith
01,English,BSc,02465,,https://kurser.dtu.dk/course/02465,['Spring F4B (Fri 8-12)'],"02450, 02403, 02002, 02631, 02632, 02633",
01,English,BSc,02465,,https://kurser.dtu.dk/course/2024-2025/02465,['Spring F4B (Fri 8-12)'],,
01,English,BSc,02467,,https://kurser.dtu.dk/course/02467,['Spring F5A (Wed 8-12)'],,"02805, 02806"
01,English,BSc,02467,,https://kurser.dtu.dk/course/2024-2025/02467,['Spring F5A (Wed 8-12)'],,"02805, 02806"
01,English,BSc,02502,,https://kurser.dtu.dk/course/02502,"['Autumn E3A (Tues 8-12)', 'Spring F3A (Tues 8-12)']","01001, 01002, 01003, 01004, 01005, 01006, 01015, 01016, 02101, 02102, 02402, 02403, 02405, 02002, 02631, 02632, 02633, 02692","02501, 02511, 02512"
01,English,BSc,02502,,https://kurser.dtu.dk/course/2024-2025/02502,"['Autumn E3A (Tues 8-12)', 'Spring F3A (Tues 8-12)']",,02512
01,English,BSc,02526,,https://kurser.dtu.dk/course/02526,['Spring F3A (Tues 8-12)'],"01025, 01035, 02601, 02403, 02402, 02002, 02525, 02631, 10018, 10022",02603
01,English,BSc,02526,,https://kurser.dtu.dk/course/2024-2025/02526,['Spring F3A (Tues 8-12)'],,02603
01,English,BSc,02580,,https://kurser.dtu.dk/course/02580,['Spring F5B (Wed 13-17)'],"01002, 01004, 01005, 01006, 02002, 02631, 02632, 02633",
01,English,BSc,02580,,https://kurser.dtu.dk/course/2024-2025/02580,['Spring F5B (Wed 13-17)'],,
01,English,BSc,02601,,https://kurser.dtu.dk/course/02601,"['Spring F1B (Thurs 13-17)', 'Autumn E4B (Fri 8-12)']","02002, 02631, 02632, 02633, 02525, 01002, 01004, 01005, 01006, 01015, 01016",
01,English,BSc,02601,,https://kurser.dtu.dk/course/2024-2025/02601,"['Spring F1B (Thurs 13-17)', 'Autumn E4B (Fri 8-12)']",,
01,English,BSc,02610,,https://kurser.dtu.dk/course/02610,['Autumn E2A (Mon 13-17)'],"02601, 02402, 02002, 02631, 02632, 02633",
01,English,BSc,02610,,https://kurser.dtu.dk/course/2024-2025/02610,['Autumn E2A (Mon 13-17)'],,
01,English,BSc,02635,,https://kurser.dtu.dk/course/02635,['Autumn E1B (Thurs 13-17)'],"02525, 02002, 02631, 02633, 02601",
01,English,BSc,02635,,https://kurser.dtu.dk/course/2024-2025/02635,['Autumn E1B (Thurs 13-17)'],,
01,English,BSc,02809,,https://kurser.dtu.dk/course/2024-2025/02809,['Autumn E1A (Mon 8-12)'],,
10,English,BSc,10041,,https://kurser.dtu.dk/course/10041,['Autumn E5B (Wed 13-17)'],"10020, 10022, 10024, 01005","10013, 10036, 10040, 10042, 10046, 10048, 31400, 62773, 62774"
10,English,BSc,10063,,https://kurser.dtu.dk/course/10063,"['Spring F3A (Tues 8-12)', 'Autumn E3A (Tues 8-12)']",,"10001, 10002, 10004, 10010, 10011, 10012, 10020, 10022, 10024, 10026, 10028, 10033, 10050, 10052, 10054, 41015, 10060, 10065"
10,English,BSc,10063,,https://kurser.dtu.dk/course/2024-2025/10063,"['Spring F3A (Tues 8-12)', 'Autumn E3A (Tues 8-12)']",,"10001, 10002, 10004, 10010, 10011, 10012, 10020, 10022, 10024, 10026, 10028, 10033, 10050, 10052, 10054, 41015, 10060, 10065"
10,English,BSc,10080,,https://kurser.dtu.dk/course/10080,['Spring F3B (Fri 13-17)'],"10018, 10020, 10022, 10024, 10063, 01005","10013, 10036, 10040, 10041, 10042, 10046, 10048, 31400, 62773, 62774"
10,English,BSc,10080,,https://kurser.dtu.dk/course/2024-2025/10080,['Spring F3B (Fri 13-17)'],,"10013, 10036, 10040, 10041, 10042, 10046, 10048, 31400, 62773, 62774"
10,English,BSc,10104,,https://kurser.dtu.dk/course/10104,['Spring F1A (Mon 8-12)'],"10018, 10020, 10022, 10024, 10026",10102
10,English,BSc,10104,,https://kurser.dtu.dk/course/2024-2025/10104,['Spring F1A (Mon 8-12)'],,10102
10,English,BSc,10209,,https://kurser.dtu.dk/course/10209,['June'],"01005, 10020, 10033, 10036, 02631, 02632, 02633",
10,English,BSc,10209,,https://kurser.dtu.dk/course/2024-2025/10209,['June'],,
10,English,BSc,10240,,https://kurser.dtu.dk/course/10240,['June'],,
10,English,BSc,10240,,https://kurser.dtu.dk/course/2024-2025/10240,['June'],,
10,English,BSc,10260,,https://kurser.dtu.dk/course/10260,['Spring F2B (Thurs 8-12)'],,
10,English,BSc,10260,,https://kurser.dtu.dk/course/2024-2025/10260,['Spring F2B (Thurs 8-12)'],,
10,English,BSc,10303,,https://kurser.dtu.dk/course/10303,"['Autumn E4 (Tues 13-17, Fri 8-12)', 'Spring F4 (Tues 13-17, Fri 8-12)']","10034, 10018, 10036, 10041, 31400, 10102, 10104",
10,English,BSc,10317,,https://kurser.dtu.dk/course/10317,"['Autumn E4A (Tues 13-17)', 'Spring F4A (Tues 13-17)']","10034, 10018, 10036, 10041, 31400, 10102, 10104",10303
10,English,BSc,10317,,https://kurser.dtu.dk/course/2024-2025/10317,"['Autumn E4A (Tues 13-17)', 'Spring F4A (Tues 13-17)']",,10303
10,English,BSc,10420,,https://kurser.dtu.dk/course/10420,['June'],10020,
10,English,BSc,10420,,https://kurser.dtu.dk/course/2024-2025/10420,['June'],,
10,English,BSc,10720,,https://kurser.dtu.dk/course/10720,['June'],,"10721, 10722"
10,English,BSc,10720,,https://kurser.dtu.dk/course/2024-2025/10720,['June'],,"10721, 10722"
10,English,BSc,10721,,https://kurser.dtu.dk/course/10721,[],,"10720, 10722"
10,English,BSc,10721,,https://kurser.dtu.dk/course/2024-2025/10721,[],,"10720, 10722"
10,English,BSc,10722,,https://kurser.dtu.dk/course/10722,['August'],,"10720, 10721"
10,English,BSc,10722,,https://kurser.dtu.dk/course/2024-2025/10722,['August'],,"10720, 10721"
12,English,BSc,12102,,https://kurser.dtu.dk/course/12102,['Autumn E5 (Wed 8-17)'],12000,
12,English,BSc,12102,,https://kurser.dtu.dk/course/2024-2025/12102,['Autumn E5 (Wed 8-17)'],,
12,English,BSc,12134,,https://kurser.dtu.dk/course/12134,['Autumn E2A (Mon 13-17)'],27002,
12,English,BSc,12134,,https://kurser.dtu.dk/course/2024-2025/12134,['Autumn E2A (Mon 13-17)'],,
12,English,BSc,12139,,https://kurser.dtu.dk/course/12139,['Autumn E2B (Thurs 8-12)'],,
12,English,BSc,12139,,https://kurser.dtu.dk/course/2024-2025/12139,['Autumn E2B (Thurs 8-12)'],,
12,English,BSc,12143,,https://kurser.dtu.dk/course/12143,['Spring F4B (Fri 8-12)'],,
12,English,BSc,12143,,https://kurser.dtu.dk/course/2024-2025/12143,['Spring F4B (Fri 8-12)'],,
12,English,BSc,12205,,https://kurser.dtu.dk/course/12205,['Spring F4A (Tues 13-17)'],,
12,English,BSc,12205,,https://kurser.dtu.dk/course/2024-2025/12205,['Spring F4A (Tues 13-17)'],,
12,English,BSc,12211,,https://kurser.dtu.dk/course/12211,['June'],,12210
12,English,BSc,12211,,https://kurser.dtu.dk/course/2024-2025/12211,['June'],,12210
12,English,BSc,12320,,https://kurser.dtu.dk/course/12320,"['Spring F2 (Mon 13-17, Thurs 8-12)']","41102, 10020, 02633",
12,English,BSc,12320,,https://kurser.dtu.dk/course/2024-2025/12320,"['Spring F2 (Mon 13-17, Thurs 8-12)']",,
12,English,BSc,12411,,https://kurser.dtu.dk/course/12411,['Spring F1A (Mon 8-12)'],,"62337, 11411"
12,English,BSc,12411,,https://kurser.dtu.dk/course/2024-2025/12411,['Spring F1A (Mon 8-12)'],,12552
12,English,BSc,12412,,https://kurser.dtu.dk/course/12412,['Autumn E5B (Wed 13-17)'],"11411, 11462",11463
12,English,BSc,12412,,https://kurser.dtu.dk/course/2024-2025/12412,['Autumn E5B (Wed 13-17)'],,12552
12,English,BSc,12415,,https://kurser.dtu.dk/course/12415,['Spring F5B (Wed 13-17)'],,
12,English,BSc,12415,,https://kurser.dtu.dk/course/2024-2025/12415,['Spring F5B (Wed 13-17)'],,
12,English,BSc,12605,,https://kurser.dtu.dk/course/12605,['Autumn E2B (Thurs 8-12)'],"11990, 11993",11997
12,English,BSc,12701,,https://kurser.dtu.dk/course/12701,['Autumn E1B (Thurs 13-17)'],,
12,English,BSc,12701,,https://kurser.dtu.dk/course/2024-2025/12701,['Autumn E1B (Thurs 13-17)'],,
22,English,BSc,22051,,https://kurser.dtu.dk/course/22051,['Autumn E1B (Thurs 13-17)'],"31605, 22050","31030, 30160, 22052"
22,English,BSc,22051,,https://kurser.dtu.dk/course/2024-2025/22051,['Autumn E1B (Thurs 13-17)'],,"31030, 30160, 22052"
22,English,BSc,22052,,https://kurser.dtu.dk/course/22052,"['Spring F2 (Mon 13-17, Thurs 8-12)']","02402, 02403, 02405, 31605, 22050","02451, 31038"
22,English,BSc,22100,,https://kurser.dtu.dk/course/22100,['Autumn E3A (Tues 8-12)'],"01005, 02402, 27024, 23214, 22101, 02631, 02632, 02633, 27002, 27008, 22111",22160
22,English,BSc,22100,,https://kurser.dtu.dk/course/2024-2025/22100,['Autumn E3A (Tues 8-12)'],,22160
22,English,BSc,22101,,https://kurser.dtu.dk/course/22101,['Autumn E3A (Tues 8-12)'],,"22110, 02631, 02632, 02633"
22,English,BSc,22101,,https://kurser.dtu.dk/course/2024-2025/22101,['Autumn E3A (Tues 8-12)'],,"22110, 22161"
22,English,BSc,22111,,https://kurser.dtu.dk/course/22111,['Autumn E4A (Tues 13-17)'],"27002, 27008","27622, 27633, 36633"
22,English,BSc,22111,,https://kurser.dtu.dk/course/2024-2025/22111,['Autumn E4A (Tues 13-17)'],,"27622, 27633, 36633"
22,English,BSc,22113,,https://kurser.dtu.dk/course/22113,"['Spring F2 (Mon 13-17, Thurs 8-12)']",22101,
22,English,BSc,22113,,https://kurser.dtu.dk/course/2024-2025/22113,"['Spring F2 (Mon 13-17, Thurs 8-12)']",,
22,English,BSc,22140,,https://kurser.dtu.dk/course/22140,['Autumn E1B (Thurs 13-17)'],"27002, 27008, 27022, 27026, 36611, 22111","27042, 36042, 22142, 22141"
22,English,BSc,22140,,https://kurser.dtu.dk/course/2024-2025/22140,['Autumn E1B (Thurs 13-17)'],,"27042, 36042, 22142, 22141"
22,English,BSc,22208,,https://kurser.dtu.dk/course/22208,['Autumn E2B (Thurs 8-12)'],"27002, 27022",
22,English,BSc,22208,,https://kurser.dtu.dk/course/2024-2025/22208,['Autumn E2B (Thurs 8-12)'],,
22,English,BSc,22285,,https://kurser.dtu.dk/course/22285,['Autumn E4B (Fri 8-12)'],,
22,English,BSc,22285,,https://kurser.dtu.dk/course/2024-2025/22285,['Autumn E4B (Fri 8-12)'],,
22,English,BSc,22400,,https://kurser.dtu.dk/course/22400,['June'],,
22,English,BSc,22400,,https://kurser.dtu.dk/course/2024-2025/22400,['June'],,
22,English,BSc,22476,,https://kurser.dtu.dk/course/2024-2025/22476,"['Spring F1 (Mon 8-12, Thurs 13-17)']",,"10036, 30035, 30400, 34120"
22,English,BSc,22481,,https://kurser.dtu.dk/course/22481,['Autumn E1B (Thurs 13-17)'],,
22,English,BSc,22481,,https://kurser.dtu.dk/course/2024-2025/22481,['Autumn E4B (Fri 8-12)'],,
22,English,BSc,22600,,https://kurser.dtu.dk/course/22600,['Autumn E3A (Tues 8-12)'],,
22,English,BSc,22600,,https://kurser.dtu.dk/course/2024-2025/22600,['Autumn E3A (Tues 8-12)'],,
22,English,BSc,22602,,https://kurser.dtu.dk/course/22602,['Spring F5A (Wed 8-12)'],,
22,English,BSc,22602,,https://kurser.dtu.dk/course/2024-2025/22602,['Spring F5B (Wed 13-17)'],,
22,English,BSc,22612,,https://kurser.dtu.dk/course/22612,['January'],,
